scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,surface_nrmse,domain_lower,domain_upper
AR-S2,4,2,cubic_bspline,32,20,0.01710478263160221,-2.257215117611226,2.3981551057401846
AR-S2,4,2,discrete_identity,64,20,0.0003904032096821337,-2.257215117611226,2.3981551057401846
AR-S2,4,2,cubic_bspline,32,24,0.017101043444438864,-2.257215117611226,2.3981551057401846
AR-S2,4,2,discrete_identity,64,24,0.00015644573551279323,-2.257215117611226,2.3981551057401846
AR-S3,0,0,cubic_bspline,32,16,0.008344331033528914,-2.2392036121985504,2.3304662560063854
AR-S3,0,0,discrete_identity,64,16,0.0017919264308731582,-2.2392036121985504,2.3304662560063854
AR-S3,0,0,cubic_bspline,32,20,0.00815796225062329,-2.2392036121985504,2.3304662560063854
AR-S3,0,0,discrete_identity,64,20,0.00036791866737748374,-2.2392036121985504,2.3304662560063854
AR-S3,0,0,cubic_bspline,32,24,0.008150419253454316,-2.2392036121985504,2.3304662560063854
AR-S3,0,0,discrete_identity,64,24,0.00011110855249116171,-2.2392036121985504,2.3304662560063854
AR-S3,0,1,cubic_bspline,32,16,0.018749515477703326,-2.278872923890555,2.4155175266174314
AR-S3,0,1,discrete_identity,64,16,0.009274703023072008,-2.278872923890555,2.4155175266174314
AR-S3,0,1,cubic_bspline,32,20,0.01656485367633828,-2.278872923890555,2.4155175266174314
AR-S3,0,1,discrete_identity,64,20,0.0029750147303004926,-2.278872923890555,2.4155175266174314
AR-S3,0,1,cubic_bspline,32,24,0.016316231863292726,-2.278872923890555,2.4155175266174314
AR-S3,0,1,discrete_identity,64,24,0.0008207902075295137,-2.278872923890555,2.4155175266174314
AR-S3,0,2,cubic_bspline,32,16,0.016935834536122893,-2.2916930182100392,2.2940970227536126
AR-S3,0,2,discrete_identity,64,16,0.0009915576969678243,-2.2916930182100392,2.2940970227536126
AR-S3,0,2,cubic_bspline,32,20,0.016909449891105318,-2.2916930182100392,2.2940970227536126
AR-S3,0,2,discrete_identity,64,20,0.00029980227064151766,-2.2916930182100392,2.2940970227536126
AR-S3,0,2,cubic_bspline,32,24,0.016907218452346624,-2.2916930182100392,2.2940970227536126
AR-S3,0,2,discrete_identity,64,24,0.00011998094832247509,-2.2916930182100392,2.2940970227536126
AR-S3,1,0,cubic_bspline,32,16,0.008355264210127701,-2.303147638523005,2.2307844309591336
AR-S3,1,0,discrete_identity,64,16,0.0018474769901788285,-2.303147638523005,2.2307844309591336
AR-S3,1,0,cubic_bspline,32,20,0.008163428978360577,-2.303147638523005,2.2307844309591336
AR-S3,1,0,discrete_identity,64,20,0.0004941419079849774,-2.303147638523005,2.2307844309591336
AR-S3,1,0,cubic_bspline,32,24,0.008149918437441997,-2.303147638523005,2.2307844309591336
AR-S3,1,0,discrete_identity,64,24,0.00015415963273685256,-2.303147638523005,2.2307844309591336
AR-S3,1,1,cubic_bspline,32,16,0.017790197776369476,-2.382253556697118,2.1976954931311274
AR-S3,1,1,discrete_identity,64,16,0.007162992362101902,-2.382253556697118,2.1976954931311274
AR-S3,1,1,cubic_bspline,32,20,0.016467568967301217,-2.382253556697118,2.1976954931311274
AR-S3,1,1,discrete_identity,64,20,0.0024467789474492668,-2.382253556697118,2.1976954931311274
AR-S3,1,1,cubic_bspline,32,24,0.01630207979372566,-2.382253556697118,2.1976954931311274
